Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
SANA_TNF_SIGNALING_DN,8,8/590,84/17483,0.0911839762626074,68659/13819/110310/102103/30794/100041194/20091/63955,Gask1b/Epas1/Krt7/Mtus1/Pdlim4/Ahnak2/Rps3a1/Cables1,ENSMUSG00000027955/ENSMUSG00000024140/ENSMUSG00000023039/ENSMUSG00000045636/ENSMUSG00000020388/ENSMUSG00000072812/ENSMUSG00000028081/ENSMUSG00000040957,C2,CGP
ZHANG_TARGETS_OF_EWSR1_FLI1_FUSION,8,8/590,84/17483,0.0911839762626074,76267/12608/18751/243362/69993/230673/17909/15040,Fads1/Cebpb/Prkcb/Stard13/Chn2/Ipo13/Myo10/H2-T23,ENSMUSG00000010663/ENSMUSG00000056501/ENSMUSG00000052889/ENSMUSG00000016128/ENSMUSG00000004633/ENSMUSG00000033365/ENSMUSG00000022272/ENSMUSG00000067212,C2,CGP
LIU_SOX4_TARGETS_UP,11,11/590,139/17483,0.0918582869374512,97064/21825/71085/19240/12484/17158/218454/20947/17196/217684/80281,Wwtr1/Thbs1/Arhgap19/Tmsb10/Cd24a/Man2a1/Lhfpl2/Swap70/Mbp/Susd6/Cttnbp2nl,ENSMUSG00000027803/ENSMUSG00000040152/ENSMUSG00000025154/ENSMUSG00000079523/ENSMUSG00000047139/ENSMUSG00000024085/ENSMUSG00000045312/ENSMUSG00000031015/ENSMUSG00000041607/ENSMUSG00000021133/ENSMUSG00000062127,C2,CGP
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN,13,13/590,178/17483,0.0918582869374512,70310/14733/54725/16419/77579/14199/320183/243362/192176/26936/17886/12334/71918,Plscr3/Gpc1/Cadm1/Itgb5/Myh10/Fhl1/Msrb3/Stard13/Flna/Mprip/Myh9/Capn2/Zcchc24,ENSMUSG00000019461/ENSMUSG00000034220/ENSMUSG00000032076/ENSMUSG00000022817/ENSMUSG00000020900/ENSMUSG00000023092/ENSMUSG00000051236/ENSMUSG00000016128/ENSMUSG00000031328/ENSMUSG00000005417/ENSMUSG00000022443/ENSMUSG00000026509/ENSMUSG00000055538,C2,CGP
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP,5,5/590,37/17483,0.09344202152401809,236539/27053/16000/64209/23886,Phgdh/Asns/Igf1/Herpud1/Gdf15,ENSMUSG00000053398/ENSMUSG00000029752/ENSMUSG00000020053/ENSMUSG00000031770/ENSMUSG00000038508,C2,CGP
AZARE_STAT3_TARGETS,4,4/590,24/17483,0.09451509917152232,227699/21825/14268/12847,Nup188/Thbs1/Fn1/Copa,ENSMUSG00000052533/ENSMUSG00000040152/ENSMUSG00000026193/ENSMUSG00000026553,C2,CGP
GALE_APL_WITH_FLT3_MUTATED_DN,4,4/590,24/17483,0.09451509917152232,110557/15018/14470/15040,H2-Q6/H2-Q7/Rabac1/H2-T23,ENSMUSG00000073409/ENSMUSG00000060550/ENSMUSG00000003380/ENSMUSG00000067212,C2,CGP
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,6,6/590,52/17483,0.09451509917152232,20005/78294/20091/27176/66085/16785,Rpl9/Rps27a/Rps3a1/Rpl7a/Eif3f/Rpsa,ENSMUSG00000047215/ENSMUSG00000020460/ENSMUSG00000028081/ENSMUSG00000062647/ENSMUSG00000031029/ENSMUSG00000032518,C2,CGP
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1,7,7/590,68/17483,0.09451509917152232,16847/12608/21810/110310/11717/57266/18627,Lepr/Cebpb/Tgfbi/Krt7/Ampd3/Cxcl14/Per2,ENSMUSG00000057722/ENSMUSG00000056501/ENSMUSG00000035493/ENSMUSG00000023039/ENSMUSG00000005686/ENSMUSG00000021508/ENSMUSG00000055866,C2,CGP
COATES_MACROPHAGE_M1_VS_M2_UP,8,8/590,85/17483,0.09451509917152232,140792/226791/21810/54725/17132/67092/225845/57266,Colec12/Lyplal1/Tgfbi/Cadm1/Maf/Gatm/Plaat3/Cxcl14,ENSMUSG00000036103/ENSMUSG00000039246/ENSMUSG00000035493/ENSMUSG00000032076/ENSMUSG00000055435/ENSMUSG00000027199/ENSMUSG00000060675/ENSMUSG00000021508,C2,CGP
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION,3,3/590,13/17483,0.09852180792632716,60504/18751/16190,Il21r/Prkcb/Il4ra,ENSMUSG00000030745/ENSMUSG00000052889/ENSMUSG00000030748,C2,CGP
MORI_MATURE_B_LYMPHOCYTE_UP,8,8/590,86/17483,0.09852180792632716,15001/11303/14744/15000/11816/100855/16452/229877,H2-Oa/Abca1/Gpr65/H2-DMb2/Apoe/Tbc1d14/Jak2/Rap1gds1,ENSMUSG00000024334/ENSMUSG00000015243/ENSMUSG00000021886/ENSMUSG00000037548/ENSMUSG00000002985/ENSMUSG00000029192/ENSMUSG00000024789/ENSMUSG00000028149,C2,CGP
SANA_RESPONSE_TO_IFNG_DN,8,8/590,86/17483,0.09852180792632716,68659/110310/107686/20091/18813/63955/16785/18263,Gask1b/Krt7/Snrpd2/Rps3a1/Pa2g4/Cables1/Rpsa/Odc1,ENSMUSG00000027955/ENSMUSG00000023039/ENSMUSG00000040824/ENSMUSG00000028081/ENSMUSG00000025364/ENSMUSG00000040957/ENSMUSG00000032518/ENSMUSG00000011179,C2,CGP
BROWNE_HCMV_INFECTION_20HR_DN,9,9/590,104/17483,0.09852180792632716,100038909/229521/54610/30805/17748/18726/14276/11428/68953,Gm14548/Syt11/Tbc1d8/Slc22a4/Mt1/Lilra6/Folr2/Aco1/Chmp2a,ENSMUSG00000074417/ENSMUSG00000068923/ENSMUSG00000003134/ENSMUSG00000020334/ENSMUSG00000031765/ENSMUSG00000030427/ENSMUSG00000032725/ENSMUSG00000028405/ENSMUSG00000033916,C2,CGP
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,9,9/590,104/17483,0.09852180792632716,22151/64209/19240/54132/21894/17158/12010/218490/66085,Tubb2a/Herpud1/Tmsb10/Pdlim1/Tln1/Man2a1/B2m/Btf3/Eif3f,ENSMUSG00000058672/ENSMUSG00000031770/ENSMUSG00000079523/ENSMUSG00000055044/ENSMUSG00000028465/ENSMUSG00000024085/ENSMUSG00000060802/ENSMUSG00000021660/ENSMUSG00000031029,C2,CGP
FERNANDEZ_BOUND_BY_MYC,13,13/590,181/17483,0.09852180792632716,15331/64209/11789/11568/20104/11717/11911/19921/19170/22166/12028/26451/20535,Hmgn2/Herpud1/Apc/Aebp1/Rps6/Ampd3/Atf4/Rpl19/Psmb1/Txn1/Bax/Rpl27a/Slc4a2,ENSMUSG00000003038/ENSMUSG00000031770/ENSMUSG00000005871/ENSMUSG00000020473/ENSMUSG00000028495/ENSMUSG00000005686/ENSMUSG00000042406/ENSMUSG00000017404/ENSMUSG00000014769/ENSMUSG00000028367/ENSMUSG00000003873/ENSMUSG00000046364/ENSMUSG00000028962,C2,CGP
PASINI_SUZ12_TARGETS_DN,19,19/590,308/17483,0.09925306604285498,102657/72333/229521/140792/17387/30963/19126/29806/77579/17913/97064/21825/192176/14268/12010/12334/20969/23802/16449,Cd276/Palld/Syt11/Colec12/Mmp14/Hacd1/Prom1/Limd1/Myh10/Myo1c/Wwtr1/Thbs1/Flna/Fn1/B2m/Capn2/Sdc1/Amfr/Jag1,ENSMUSG00000035914/ENSMUSG00000058056/ENSMUSG00000068923/ENSMUSG00000036103/ENSMUSG00000000957/ENSMUSG00000063275/ENSMUSG00000029086/ENSMUSG00000025239/ENSMUSG00000020900/ENSMUSG00000017774/ENSMUSG00000027803/ENSMUSG00000040152/ENSMUSG00000031328/ENSMUSG00000026193/ENSMUSG00000060802/ENSMUSG00000026509/ENSMUSG00000020592/ENSMUSG00000031751/ENSMUSG00000027276,C2,CGP
PEREZ_TP53_AND_TP63_TARGETS,14,14/590,202/17483,0.09960949577858702,66082/20354/195046/13823/12709/17132/19883/71069/244668/19271/223650/239985/57266/71918,Abhd6/Sema4d/Nlrp1a/Epb41l3/Ckb/Maf/Rora/Stox2/Sipa1l2/Ptprj/Eppk1/Arid1b/Cxcl14/Zcchc24,ENSMUSG00000025277/ENSMUSG00000021451/ENSMUSG00000069830/ENSMUSG00000024044/ENSMUSG00000001270/ENSMUSG00000055435/ENSMUSG00000032238/ENSMUSG00000038143/ENSMUSG00000001995/ENSMUSG00000025314/ENSMUSG00000115388/ENSMUSG00000069729/ENSMUSG00000021508/ENSMUSG00000055538,C2,CGP
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP,14,14/590,202/17483,0.09960949577858702,12654/319939/68659/12268/97064/20430/74748/11816/14268/104099/72145/18782/13039/80281,Chil1/Tns3/Gask1b/C4b/Wwtr1/Cyfip1/Slamf8/Apoe/Fn1/Itga9/Wdfy3/Pla2g2d/Ctsl/Cttnbp2nl,ENSMUSG00000064246/ENSMUSG00000020422/ENSMUSG00000027955/ENSMUSG00000073418/ENSMUSG00000027803/ENSMUSG00000030447/ENSMUSG00000053318/ENSMUSG00000002985/ENSMUSG00000026193/ENSMUSG00000039115/ENSMUSG00000043940/ENSMUSG00000041202/ENSMUSG00000021477/ENSMUSG00000062127,C2,CGP
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP,27,27/590,490/17483,0.10029514591145994,60504/13421/12608/22151/57295/69106/56434/20591/12010/17938/75617/21371/320632/18975/19921/246221/12568/22273/66177/228033/50783/67248/20641/15194/12028/233863/26451,Il21r/Dnase1l3/Cebpb/Tubb2a/Icmt/Stoml1/Tspan3/Kdm5c/B2m/Naca/Rps25/Tbca/Snrnp200/Polg/Rpl19/Mpst/Cdk5/Uqcrc1/Ubl5/Atp5g3/Lsm4/Rpl39/Snrpd1/Htt/Bax/Gtf3c1/Rpl27a,ENSMUSG00000030745/ENSMUSG00000025279/ENSMUSG00000056501/ENSMUSG00000058672/ENSMUSG00000039662/ENSMUSG00000032333/ENSMUSG00000032324/ENSMUSG00000025332/ENSMUSG00000060802/ENSMUSG00000061315/ENSMUSG00000009927/ENSMUSG00000042043/ENSMUSG00000003660/ENSMUSG00000039176/ENSMUSG00000017404/ENSMUSG00000071711/ENSMUSG00000028969/ENSMUSG00000025651/ENSMUSG00000084786/ENSMUSG00000018770/ENSMUSG00000031848/ENSMUSG00000079641/ENSMUSG00000002477/ENSMUSG00000029104/ENSMUSG00000003873/ENSMUSG00000032777/ENSMUSG00000046364,C2,CGP
LIN_APC_TARGETS,7,7/590,70/17483,0.10317873639239879,17387/216859/23921/110310/20020/17250/17069,Mmp14/Acap1/Sh2b2/Krt7/Polr2a/Abcc1/Ly6e,ENSMUSG00000000957/ENSMUSG00000001588/ENSMUSG00000005057/ENSMUSG00000023039/ENSMUSG00000005198/ENSMUSG00000023088/ENSMUSG00000022587,C2,CGP
ZHOU_TNF_SIGNALING_4HR,6,6/590,54/17483,0.10476824837578813,56434/17158/64292/110954/19177/26451,Tspan3/Man2a1/Ptges/Rpl10/Psmb7/Rpl27a,ENSMUSG00000032324/ENSMUSG00000024085/ENSMUSG00000050737/ENSMUSG00000008682/ENSMUSG00000026750/ENSMUSG00000046364,C2,CGP
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP,17,17/590,267/17483,0.10476824837578813,66082/215632/66222/22032/66889/12484/66890/268373/14013/107197/15519/14583/246221/17909/208795/66431/22166,Abhd6/Psd4/Serpinb1a/Traf4/Rnf128/Cd24a/Lman2/Ppia/Mecom/Uqcc3/Hsp90aa1/Gfpt1/Mpst/Myo10/Tmem63a/Oxld1/Txn1,ENSMUSG00000025277/ENSMUSG00000026979/ENSMUSG00000044734/ENSMUSG00000017386/ENSMUSG00000031438/ENSMUSG00000047139/ENSMUSG00000021484/ENSMUSG00000071866/ENSMUSG00000027684/ENSMUSG00000071654/ENSMUSG00000021270/ENSMUSG00000029992/ENSMUSG00000071711/ENSMUSG00000022272/ENSMUSG00000026519/ENSMUSG00000039670/ENSMUSG00000028367,C2,CGP
GRADE_COLON_AND_RECTAL_CANCER_UP,18,18/590,289/17483,0.10541485353455113,24108/16832/21810/114128/381280/16419/17215/23886/11717/71833/268373/73078/225845/18813/217207/19177/19170/17069,Ubd/Ldhb/Tgfbi/Laptm4b/Hjurp/Itgb5/Mcm3/Gdf15/Ampd3/Dcaf7/Ppia/Pmpcb/Plaat3/Pa2g4/Dhx8/Psmb7/Psmb1/Ly6e,ENSMUSG00000035186/ENSMUSG00000030246/ENSMUSG00000035493/ENSMUSG00000022257/ENSMUSG00000044783/ENSMUSG00000022817/ENSMUSG00000041859/ENSMUSG00000038508/ENSMUSG00000005686/ENSMUSG00000049354/ENSMUSG00000071866/ENSMUSG00000029017/ENSMUSG00000060675/ENSMUSG00000025364/ENSMUSG00000034931/ENSMUSG00000026750/ENSMUSG00000014769/ENSMUSG00000022587,C2,CGP
POS_HISTAMINE_RESPONSE_NETWORK,5,5/590,39/17483,0.10568398827670197,16004/12608/27053/16168/15531,Igf2r/Cebpb/Asns/Il15/Ndst1,ENSMUSG00000023830/ENSMUSG00000056501/ENSMUSG00000029752/ENSMUSG00000031712/ENSMUSG00000054008,C2,CGP
PODAR_RESPONSE_TO_ADAPHOSTIN_UP,11,11/590,144/17483,0.10568398827670197,72333/12608/195046/22151/320119/27053/228775/217664/16168/11911/338467,Palld/Cebpb/Nlrp1a/Tubb2a/Rps6kc1/Asns/Trib3/Mgat2/Il15/Atf4/Morc3,ENSMUSG00000058056/ENSMUSG00000056501/ENSMUSG00000069830/ENSMUSG00000058672/ENSMUSG00000089872/ENSMUSG00000029752/ENSMUSG00000032715/ENSMUSG00000043998/ENSMUSG00000031712/ENSMUSG00000042406/ENSMUSG00000039456,C2,CGP
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7,23,23/590,401/17483,0.10568398827670197,110557/16570/16847/228765/14733/17427/15018/16419/52463/238377/97064/20846/56434/102103/277360/93694/171212/64292/67784/17909/16449/15040/19303,H2-Q6/Kif3c/Lepr/Sdcbp2/Gpc1/Mns1/H2-Q7/Itgb5/Tet1/Gpr68/Wwtr1/Stat1/Tspan3/Mtus1/Prex1/Clec2d/Galnt10/Ptges/Plxnd1/Myo10/Jag1/H2-T23/Pxn,ENSMUSG00000073409/ENSMUSG00000020668/ENSMUSG00000057722/ENSMUSG00000027456/ENSMUSG00000034220/ENSMUSG00000032221/ENSMUSG00000060550/ENSMUSG00000022817/ENSMUSG00000047146/ENSMUSG00000047415/ENSMUSG00000027803/ENSMUSG00000026104/ENSMUSG00000032324/ENSMUSG00000045636/ENSMUSG00000039621/ENSMUSG00000030157/ENSMUSG00000020520/ENSMUSG00000050737/ENSMUSG00000030123/ENSMUSG00000022272/ENSMUSG00000027276/ENSMUSG00000067212/ENSMUSG00000029528,C2,CGP
SASAKI_ADULT_T_CELL_LEUKEMIA,12,12/590,164/17483,0.10653982334373606,229521/54725/15331/57295/16534/97064/20846/17215/19271/56455/68953/228033,Syt11/Cadm1/Hmgn2/Icmt/Kcnn4/Wwtr1/Stat1/Mcm3/Ptprj/Dynll1/Chmp2a/Atp5g3,ENSMUSG00000068923/ENSMUSG00000032076/ENSMUSG00000003038/ENSMUSG00000039662/ENSMUSG00000054342/ENSMUSG00000027803/ENSMUSG00000026104/ENSMUSG00000041859/ENSMUSG00000025314/ENSMUSG00000009013/ENSMUSG00000033916/ENSMUSG00000018770,C2,CGP
SESTO_RESPONSE_TO_UV_C8,7,7/590,71/17483,0.10711163187996366,17750/77579/11658/14199/20430/16190/56030,Mt2/Myh10/Alcam/Fhl1/Cyfip1/Il4ra/Tmem131,ENSMUSG00000031762/ENSMUSG00000020900/ENSMUSG00000022636/ENSMUSG00000023092/ENSMUSG00000030447/ENSMUSG00000030748/ENSMUSG00000026116,C2,CGP
IGLESIAS_E2F_TARGETS_UP,11,11/590,145/17483,0.10946463239451634,54725/22151/56322/20430/20308/17215/11816/12527/12925/12010/12028,Cadm1/Tubb2a/Timm22/Cyfip1/Ccl9/Mcm3/Apoe/Cd9/Crip1/B2m/Bax,ENSMUSG00000032076/ENSMUSG00000058672/ENSMUSG00000020843/ENSMUSG00000030447/ENSMUSG00000019122/ENSMUSG00000041859/ENSMUSG00000002985/ENSMUSG00000030342/ENSMUSG00000006360/ENSMUSG00000060802/ENSMUSG00000003873,C2,CGP
SCHEIDEREIT_IKK_INTERACTING_PROTEINS,6,6/590,55/17483,0.10963581157888842,13819/17979/26409/15519/19766/15194,Epas1/Ncoa3/Map3k7/Hsp90aa1/Ripk1/Htt,ENSMUSG00000024140/ENSMUSG00000027678/ENSMUSG00000028284/ENSMUSG00000021270/ENSMUSG00000021408/ENSMUSG00000029104,C2,CGP
YU_MYC_TARGETS_DN,6,6/590,55/17483,0.10963581157888842,12481/104759/11303/19309/18751/15000,Cd2/Pld4/Abca1/Pygm/Prkcb/H2-DMb2,ENSMUSG00000027863/ENSMUSG00000052160/ENSMUSG00000015243/ENSMUSG00000032648/ENSMUSG00000052889/ENSMUSG00000037548,C2,CGP
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP,3,3/590,14/17483,0.11192216865413461,12484/12874/68137,Cd24a/Cpd/Kdelr1,ENSMUSG00000047139/ENSMUSG00000020841/ENSMUSG00000002778,C2,CGP
MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_UP,4,4/590,26/17483,0.11233960850007191,54725/27226/76969/20308,Cadm1/Pla2g7/Chst1/Ccl9,ENSMUSG00000032076/ENSMUSG00000023913/ENSMUSG00000027221/ENSMUSG00000019122,C2,CGP
WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2,5,5/590,40/17483,0.11233960850007191,15018/16419/56455/12334/15040,H2-Q7/Itgb5/Dynll1/Capn2/H2-T23,ENSMUSG00000060550/ENSMUSG00000022817/ENSMUSG00000009013/ENSMUSG00000026509/ENSMUSG00000067212,C2,CGP
BENPORATH_MYC_TARGETS_WITH_EBOX,15,15/590,228/17483,0.11264386509931162,12481/15331/64209/11789/20104/11717/110954/11911/19921/15519/19170/22166/12028/26451/20535,Cd2/Hmgn2/Herpud1/Apc/Rps6/Ampd3/Rpl10/Atf4/Rpl19/Hsp90aa1/Psmb1/Txn1/Bax/Rpl27a/Slc4a2,ENSMUSG00000027863/ENSMUSG00000003038/ENSMUSG00000031770/ENSMUSG00000005871/ENSMUSG00000028495/ENSMUSG00000005686/ENSMUSG00000008682/ENSMUSG00000042406/ENSMUSG00000017404/ENSMUSG00000021270/ENSMUSG00000014769/ENSMUSG00000028367/ENSMUSG00000003873/ENSMUSG00000046364/ENSMUSG00000028962,C2,CGP
BASSO_CD40_SIGNALING_UP,9,9/590,108/17483,0.11302805177379173,11501/15018/105855/16534/20846/110310/19267/218454/15040,Adam8/H2-Q7/Nckap1l/Kcnn4/Stat1/Krt7/Ptpre/Lhfpl2/H2-T23,ENSMUSG00000025473/ENSMUSG00000060550/ENSMUSG00000022488/ENSMUSG00000054342/ENSMUSG00000026104/ENSMUSG00000023039/ENSMUSG00000041836/ENSMUSG00000045312/ENSMUSG00000067212,C2,CGP
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_UP,6,6/590,56/17483,0.1157528126911545,17215/12527/14268/12010/20970/20848,Mcm3/Cd9/Fn1/B2m/Sdc3/Stat3,ENSMUSG00000041859/ENSMUSG00000030342/ENSMUSG00000026193/ENSMUSG00000060802/ENSMUSG00000025743/ENSMUSG00000004040,C2,CGP
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP,11,11/590,147/17483,0.1157528126911545,72333/11554/104759/22151/77579/21825/20846/14255/23886/14013/17069,Palld/Adrb1/Pld4/Tubb2a/Myh10/Thbs1/Stat1/Flt3/Gdf15/Mecom/Ly6e,ENSMUSG00000058056/ENSMUSG00000035283/ENSMUSG00000052160/ENSMUSG00000058672/ENSMUSG00000020900/ENSMUSG00000040152/ENSMUSG00000026104/ENSMUSG00000042817/ENSMUSG00000038508/ENSMUSG00000027684/ENSMUSG00000022587,C2,CGP
MCBRYAN_PUBERTAL_BREAST_6_7WK_UP,13,13/590,188/17483,0.11859563426658992,232975/12654/236539/13819/17913/20591/54616/12874/56453/140630/15531/16449/71913,Atp1a3/Chil1/Phgdh/Epas1/Myo1c/Kdm5c/Extl3/Cpd/Mbtps1/Ube4a/Ndst1/Jag1/Tmem79,ENSMUSG00000040907/ENSMUSG00000064246/ENSMUSG00000053398/ENSMUSG00000024140/ENSMUSG00000017774/ENSMUSG00000025332/ENSMUSG00000021978/ENSMUSG00000020841/ENSMUSG00000031835/ENSMUSG00000059890/ENSMUSG00000054008/ENSMUSG00000027276/ENSMUSG00000001420,C2,CGP
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN,5,5/590,41/17483,0.11963103484538312,11816/69993/23807/69802/20044,Apoe/Chn2/Arih2/Cox11/Rps14,ENSMUSG00000002985/ENSMUSG00000004633/ENSMUSG00000064145/ENSMUSG00000020544/ENSMUSG00000024608,C2,CGP
KIM_LRRC3B_TARGETS,5,5/590,41/17483,0.11963103484538312,110557/20304/15018/12010/15040,H2-Q6/Ccl5/H2-Q7/B2m/H2-T23,ENSMUSG00000073409/ENSMUSG00000035042/ENSMUSG00000060550/ENSMUSG00000060802/ENSMUSG00000067212,C2,CGP
LEIN_ASTROCYTE_MARKERS,5,5/590,41/17483,0.11963103484538312,16409/27226/16419/192187/11816,Itgam/Pla2g7/Itgb5/Stab1/Apoe,ENSMUSG00000030786/ENSMUSG00000023913/ENSMUSG00000022817/ENSMUSG00000042286/ENSMUSG00000002985,C2,CGP
BAELDE_DIABETIC_NEPHROPATHY_DN,24,24/590,431/17483,0.11963103484538312,235431/72333/12654/22151/16419/13548/67865/20846/71085/56434/140570/192176/53890/21371/17886/12334/69550/15519/21888/76551/68507/338467/18263/19359,Coro2b/Palld/Chil1/Tubb2a/Itgb5/Dyrk1a/Rgs10/Stat1/Arhgap19/Tspan3/Plxnb2/Flna/Sart3/Tbca/Myh9/Capn2/Bst2/Hsp90aa1/Tle4/Ccdc6/Ppfia4/Morc3/Odc1/Rad23b,ENSMUSG00000041729/ENSMUSG00000058056/ENSMUSG00000064246/ENSMUSG00000058672/ENSMUSG00000022817/ENSMUSG00000022897/ENSMUSG00000030844/ENSMUSG00000026104/ENSMUSG00000025154/ENSMUSG00000032324/ENSMUSG00000036606/ENSMUSG00000031328/ENSMUSG00000018974/ENSMUSG00000042043/ENSMUSG00000022443/ENSMUSG00000026509/ENSMUSG00000046718/ENSMUSG00000021270/ENSMUSG00000024642/ENSMUSG00000048701/ENSMUSG00000026458/ENSMUSG00000039456/ENSMUSG00000011179/ENSMUSG00000028426,C2,CGP
KLEIN_PRIMARY_EFFUSION_LYMPHOMA_DN,6,6/590,57/17483,0.12123305325738248,67092/15000/229473/12484/20947/76551,Gatm/H2-DMb2/Tmem131l/Cd24a/Swap70/Ccdc6,ENSMUSG00000027199/ENSMUSG00000037548/ENSMUSG00000033767/ENSMUSG00000047139/ENSMUSG00000031015/ENSMUSG00000048701,C2,CGP
PETROVA_PROX1_TARGETS_DN,6,6/590,57/17483,0.12123305325738248,16832/17387/239027/18186/110310/30794,Ldhb/Mmp14/Arhgap22/Nrp1/Krt7/Pdlim4,ENSMUSG00000030246/ENSMUSG00000000957/ENSMUSG00000063506/ENSMUSG00000025810/ENSMUSG00000023039/ENSMUSG00000020388,C2,CGP
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_DN,7,7/590,74/17483,0.12123305325738248,68215/67899/66411/50783/78658/99100/19941,Fam98b/Cmc1/Tbcb/Lsm4/Ncapd3/Cep152/Rpl26,ENSMUSG00000027349/ENSMUSG00000039163/ENSMUSG00000006095/ENSMUSG00000031848/ENSMUSG00000035024/ENSMUSG00000068394/ENSMUSG00000060938,C2,CGP
RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP,7,7/590,74/17483,0.12123305325738248,16409/12608/11303/14744/14904/20947/18129,Itgam/Cebpb/Abca1/Gpr65/Gtpbp1/Swap70/Notch2,ENSMUSG00000030786/ENSMUSG00000056501/ENSMUSG00000015243/ENSMUSG00000021886/ENSMUSG00000042535/ENSMUSG00000031015/ENSMUSG00000027878,C2,CGP
MARKEY_RB1_CHRONIC_LOF_UP,9,9/590,110/17483,0.12123305325738248,76267/16004/67092/381280/16534/26407/12925/17158/20969,Fads1/Igf2r/Gatm/Hjurp/Kcnn4/Map3k4/Crip1/Man2a1/Sdc1,ENSMUSG00000010663/ENSMUSG00000023830/ENSMUSG00000027199/ENSMUSG00000044783/ENSMUSG00000054342/ENSMUSG00000014426/ENSMUSG00000006360/ENSMUSG00000024085/ENSMUSG00000020592,C2,CGP
RICKMAN_METASTASIS_DN,16,16/590,253/17483,0.12123305325738248,195046/215632/74748/54132/102103/100041194/246177/14904/223650/11717/20969/114601/215690/22166/434341/338467,Nlrp1a/Psd4/Slamf8/Pdlim1/Mtus1/Ahnak2/Myo1g/Gtpbp1/Eppk1/Ampd3/Sdc1/Ehbp1l1/Nav1/Txn1/Nlrc5/Morc3,ENSMUSG00000069830/ENSMUSG00000026979/ENSMUSG00000053318/ENSMUSG00000055044/ENSMUSG00000045636/ENSMUSG00000072812/ENSMUSG00000020437/ENSMUSG00000042535/ENSMUSG00000115388/ENSMUSG00000005686/ENSMUSG00000020592/ENSMUSG00000024937/ENSMUSG00000009418/ENSMUSG00000028367/ENSMUSG00000074151/ENSMUSG00000039456,C2,CGP
HELLER_SILENCED_BY_METHYLATION_UP,17,17/590,275/17483,0.12127644488375501,75345/12273/24108/12654/54427/22151/11492/18636/11658/20846/15000/11816/110310/70789/216161/16168/217207,Slamf7/C5ar1/Ubd/Chil1/Dnmt3l/Tubb2a/Adam19/Cfp/Alcam/Stat1/H2-DMb2/Apoe/Krt7/Kynu/Sbno2/Il15/Dhx8,ENSMUSG00000038179/ENSMUSG00000049130/ENSMUSG00000035186/ENSMUSG00000064246/ENSMUSG00000000730/ENSMUSG00000058672/ENSMUSG00000011256/ENSMUSG00000001128/ENSMUSG00000022636/ENSMUSG00000026104/ENSMUSG00000037548/ENSMUSG00000002985/ENSMUSG00000023039/ENSMUSG00000026866/ENSMUSG00000035673/ENSMUSG00000031712/ENSMUSG00000034931,C2,CGP
PHONG_TNF_RESPONSE_VIA_P38_COMPLETE,15,15/590,232/17483,0.1218157424828225,110557/17427/15018/22032/17913/217664/14013/68606/14583/17909/17196/16449/15040/54563/71918,H2-Q6/Mns1/H2-Q7/Traf4/Myo1c/Mgat2/Mecom/Ppm1f/Gfpt1/Myo10/Mbp/Jag1/H2-T23/Nup210/Zcchc24,ENSMUSG00000073409/ENSMUSG00000032221/ENSMUSG00000060550/ENSMUSG00000017386/ENSMUSG00000017774/ENSMUSG00000043998/ENSMUSG00000027684/ENSMUSG00000026181/ENSMUSG00000029992/ENSMUSG00000022272/ENSMUSG00000041607/ENSMUSG00000027276/ENSMUSG00000067212/ENSMUSG00000030091/ENSMUSG00000055538,C2,CGP
XU_RESPONSE_TO_TRETINOIN_AND_NSC682994_UP,3,3/590,15/17483,0.12507559087882802,14457/20846/17886,Gas7/Stat1/Myh9,ENSMUSG00000033066/ENSMUSG00000026104/ENSMUSG00000022443,C2,CGP
SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN,6,6/590,58/17483,0.1273296430106876,13819/70564/21825/20846/14268/20848,Epas1/Prxl2a/Thbs1/Stat1/Fn1/Stat3,ENSMUSG00000024140/ENSMUSG00000021792/ENSMUSG00000040152/ENSMUSG00000026104/ENSMUSG00000026193/ENSMUSG00000004040,C2,CGP
