Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
FINETTI_BREAST_CANCERS_KINOME_GRAY,2,2/590,15/17483,0.3520094078544047,13548/20623,Dyrk1a/Snrk,ENSMUSG00000022897/ENSMUSG00000038145,C2,CGP
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP,2,2/590,15/17483,0.3520094078544047,12608/11911,Cebpb/Atf4,ENSMUSG00000056501/ENSMUSG00000042406,C2,CGP
GRASEMANN_RETINOBLASTOMA_WITH_6P_AMPLIFICATION,2,2/590,15/17483,0.3520094078544047,13001/15519,Csnk2b/Hsp90aa1,ENSMUSG00000024387/ENSMUSG00000021270,C2,CGP
HUMMEL_BURKITTS_LYMPHOMA_DN,2,2/590,15/17483,0.3520094078544047,12925/20848,Crip1/Stat3,ENSMUSG00000006360/ENSMUSG00000004040,C2,CGP
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN,2,2/590,15/17483,0.3520094078544047,22151/12484,Tubb2a/Cd24a,ENSMUSG00000058672/ENSMUSG00000047139,C2,CGP
LUND_SILENCED_BY_METHYLATION,2,2/590,15/17483,0.3520094078544047,20969/18263,Sdc1/Odc1,ENSMUSG00000020592/ENSMUSG00000011179,C2,CGP
MAHADEVAN_GIST_MORPHOLOGICAL_SWITCH,2,2/590,15/17483,0.3520094078544047,54132/17909,Pdlim1/Myo10,ENSMUSG00000055044/ENSMUSG00000022272,C2,CGP
MARKS_ACETYLATED_NON_HISTONE_PROTEINS,2,2/590,15/17483,0.3520094078544047,17979/15519,Ncoa3/Hsp90aa1,ENSMUSG00000027678/ENSMUSG00000021270,C2,CGP
MATTIOLI_MULTIPLE_MYELOMA_SUBGROUPS,2,2/590,15/17483,0.3520094078544047,56455/69719,Dynll1/Cad,ENSMUSG00000009013/ENSMUSG00000013629,C2,CGP
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_DN,2,2/590,15/17483,0.3520094078544047,277360/434341,Prex1/Nlrc5,ENSMUSG00000039621/ENSMUSG00000074151,C2,CGP
KYNG_DNA_DAMAGE_DN,10,10/590,182/17483,0.3520094078544047,17750/20354/12608/16419/17748/16000/14268/21371/27176/69833,Mt2/Sema4d/Cebpb/Itgb5/Mt1/Igf1/Fn1/Tbca/Rpl7a/Polr2f,ENSMUSG00000031762/ENSMUSG00000021451/ENSMUSG00000056501/ENSMUSG00000022817/ENSMUSG00000031765/ENSMUSG00000020053/ENSMUSG00000026193/ENSMUSG00000042043/ENSMUSG00000062647/ENSMUSG00000033020,C2,CGP
SERVITJA_LIVER_HNF1A_TARGETS_UP,8,8/590,136/17483,0.35236192653987813,16847/20568/228765/16004/66222/27053/21825/17381,Lepr/Slpi/Sdcbp2/Igf2r/Serpinb1a/Asns/Thbs1/Mmp12,ENSMUSG00000057722/ENSMUSG00000017002/ENSMUSG00000027456/ENSMUSG00000023830/ENSMUSG00000044734/ENSMUSG00000029752/ENSMUSG00000040152/ENSMUSG00000049723,C2,CGP
SMID_BREAST_CANCER_NORMAL_LIKE_UP,22,22/590,479/17483,0.35236192653987813,100038909/60504/18733/12654/16847/16832/12481/195046/100041146/20304/17179/18751/216859/16177/105855/17748/14199/18726/16000/14276/21888/17196,Gm14548/Il21r/Pirb/Chil1/Lepr/Ldhb/Cd2/Nlrp1a/Gm15448/Ccl5/Matk/Prkcb/Acap1/Il1r1/Nckap1l/Mt1/Fhl1/Lilra6/Igf1/Folr2/Tle4/Mbp,ENSMUSG00000074417/ENSMUSG00000030745/ENSMUSG00000058818/ENSMUSG00000064246/ENSMUSG00000057722/ENSMUSG00000030246/ENSMUSG00000027863/ENSMUSG00000069830/ENSMUSG00000074419/ENSMUSG00000035042/ENSMUSG00000004933/ENSMUSG00000052889/ENSMUSG00000001588/ENSMUSG00000026072/ENSMUSG00000022488/ENSMUSG00000031765/ENSMUSG00000023092/ENSMUSG00000030427/ENSMUSG00000020053/ENSMUSG00000032725/ENSMUSG00000024642/ENSMUSG00000041607,C2,CGP
