Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GSE26488_WT_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN,21,21/590,187/17849,2.259682346536395e-4,218793/28240/104759/52855/545378/320158/20430/68732/66049/74315/12527/19271/12334/76846/15531/18813/19921/19951/109934/67248/20044,Ube2e2/Trpm2/Pld4/Lair1/Sh2d1b2/Zmat4/Cyfip1/Carmil1/Rogdi/Rnf145/Cd9/Ptprj/Capn2/Rps9/Ndst1/Pa2g4/Rpl19/Rpl32/Abr/Rpl39/Rps14,ENSMUSG00000058317/ENSMUSG00000009292/ENSMUSG00000052160/ENSMUSG00000055541/ENSMUSG00000073494/ENSMUSG00000037492/ENSMUSG00000030447/ENSMUSG00000021338/ENSMUSG00000022540/ENSMUSG00000019189/ENSMUSG00000030342/ENSMUSG00000025314/ENSMUSG00000026509/ENSMUSG00000006333/ENSMUSG00000054008/ENSMUSG00000025364/ENSMUSG00000017404/ENSMUSG00000057841/ENSMUSG00000017631/ENSMUSG00000079641/ENSMUSG00000024608,C7
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN,22,22/590,203/17849,2.259682346536395e-4,100038909/18733/12978/12273/80885/54610/100041146/98496/19200/68659/14457/67865/68910/217721/18726/20430/27361/12874/72145/67784/19303/100038947,Gm14548/Pirb/Csf1r/C5ar1/Hcar2/Tbc1d8/Gm15448/Pid1/Pstpip1/Gask1b/Gas7/Rgs10/Zfp467/Flvcr2/Lilra6/Cyfip1/Msrb1/Cpd/Wdfy3/Plxnd1/Pxn/Sirpb1c,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000045502/ENSMUSG00000003134/ENSMUSG00000074419/ENSMUSG00000045658/ENSMUSG00000032322/ENSMUSG00000027955/ENSMUSG00000033066/ENSMUSG00000030844/ENSMUSG00000068551/ENSMUSG00000034258/ENSMUSG00000030427/ENSMUSG00000030447/ENSMUSG00000075705/ENSMUSG00000020841/ENSMUSG00000043940/ENSMUSG00000030123/ENSMUSG00000029528/ENSMUSG00000074677,C7
GSE29618_MONOCYTE_VS_PDC_UP,22,22/590,203/17849,2.259682346536395e-4,100038909/18733/12978/12273/80885/195046/100041146/13823/27226/15018/68659/14457/18636/24115/18726/16168/72145/12334/21888/15040/13039/19303,Gm14548/Pirb/Csf1r/C5ar1/Hcar2/Nlrp1a/Gm15448/Epb41l3/Pla2g7/H2-Q7/Gask1b/Gas7/Cfp/Best1/Lilra6/Il15/Wdfy3/Capn2/Tle4/H2-T23/Ctsl/Pxn,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000045502/ENSMUSG00000069830/ENSMUSG00000074419/ENSMUSG00000024044/ENSMUSG00000023913/ENSMUSG00000060550/ENSMUSG00000027955/ENSMUSG00000033066/ENSMUSG00000001128/ENSMUSG00000037418/ENSMUSG00000030427/ENSMUSG00000031712/ENSMUSG00000043940/ENSMUSG00000026509/ENSMUSG00000024642/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000029528,C7
GSE22886_NAIVE_TCELL_VS_DC_UP,22,22/590,204/17849,2.3536356619401327e-4,70310/20354/195046/216859/15018/229473/12925/93694/17938/75617/19921/27176/22294/66085/15040/57294/69802/20084/20623/19941/20044/20068,Plscr3/Sema4d/Nlrp1a/Acap1/H2-Q7/Tmem131l/Crip1/Clec2d/Naca/Rps25/Rpl19/Rpl7a/Uxt/Eif3f/H2-T23/Rps27/Cox11/Rps18/Snrk/Rpl26/Rps14/Rps17,ENSMUSG00000019461/ENSMUSG00000021451/ENSMUSG00000069830/ENSMUSG00000001588/ENSMUSG00000060550/ENSMUSG00000033767/ENSMUSG00000006360/ENSMUSG00000030157/ENSMUSG00000061315/ENSMUSG00000009927/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000001134/ENSMUSG00000031029/ENSMUSG00000067212/ENSMUSG00000090733/ENSMUSG00000020544/ENSMUSG00000008668/ENSMUSG00000038145/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000061787,C7
GSE6259_CD4_TCELL_VS_CD8_TCELL_DN,21,21/590,189/17849,2.3599184583214964e-4,11501/217304/21810/104759/18173/100434/13548/11810/16000/20430/234577/237782/212898/246177/239985/223753/12334/56030/56417/434341/80281,Adam8/Cd300lb/Tgfbi/Pld4/Slc11a1/Slc44a1/Dyrk1a/Apobec1/Igf1/Cyfip1/Cpne2/Smcr8/Dse/Myo1g/Arid1b/Cerk/Capn2/Tmem131/Adar/Nlrc5/Cttnbp2nl,ENSMUSG00000025473/ENSMUSG00000063193/ENSMUSG00000035493/ENSMUSG00000052160/ENSMUSG00000026177/ENSMUSG00000028412/ENSMUSG00000022897/ENSMUSG00000040613/ENSMUSG00000020053/ENSMUSG00000030447/ENSMUSG00000034361/ENSMUSG00000049323/ENSMUSG00000039497/ENSMUSG00000020437/ENSMUSG00000069729/ENSMUSG00000035891/ENSMUSG00000026509/ENSMUSG00000026116/ENSMUSG00000027951/ENSMUSG00000074151/ENSMUSG00000062127,C7
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP,22,22/590,205/17849,2.3599184583214964e-4,110557/20725/64095/12774/16004/15018/16534/11658/70789/236920/12010/56455/20020/11717/59024/12549/15519/17250/66177/19177/217684/15040,H2-Q6/Serpinb8/Gpr35/Ccr5/Igf2r/H2-Q7/Kcnn4/Alcam/Kynu/Stard8/B2m/Dynll1/Polr2a/Ampd3/Med12/Arhgap31/Hsp90aa1/Abcc1/Ubl5/Psmb7/Susd6/H2-T23,ENSMUSG00000073409/ENSMUSG00000026315/ENSMUSG00000026271/ENSMUSG00000079227/ENSMUSG00000023830/ENSMUSG00000060550/ENSMUSG00000054342/ENSMUSG00000022636/ENSMUSG00000026866/ENSMUSG00000031216/ENSMUSG00000060802/ENSMUSG00000009013/ENSMUSG00000005198/ENSMUSG00000005686/ENSMUSG00000079487/ENSMUSG00000022799/ENSMUSG00000021270/ENSMUSG00000023088/ENSMUSG00000084786/ENSMUSG00000026750/ENSMUSG00000021133/ENSMUSG00000067212,C7
GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_UP,22,22/590,211/17849,3.688142927587703e-4,60504/110557/72141/171166/15018/22032/223701/20846/12010/14904/16190/64292/54387/76846/69550/225845/231889/20926/15040/78304/76933/15194,Il21r/H2-Q6/Adpgk/Mcoln3/H2-Q7/Traf4/Mrtfa/Stat1/B2m/Gtpbp1/Il4ra/Ptges/Mcm3ap/Rps9/Bst2/Plaat3/Bud31/Supt6/H2-T23/Naa38/Ifi27l2a/Htt,ENSMUSG00000030745/ENSMUSG00000073409/ENSMUSG00000025236/ENSMUSG00000036853/ENSMUSG00000060550/ENSMUSG00000017386/ENSMUSG00000042292/ENSMUSG00000026104/ENSMUSG00000060802/ENSMUSG00000042535/ENSMUSG00000030748/ENSMUSG00000050737/ENSMUSG00000001150/ENSMUSG00000006333/ENSMUSG00000046718/ENSMUSG00000060675/ENSMUSG00000038722/ENSMUSG00000002052/ENSMUSG00000067212/ENSMUSG00000059278/ENSMUSG00000079017/ENSMUSG00000029104,C7
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD8_TCELL_DN,20,20/590,180/17849,3.868692152779335e-4,58205/13421/71720/54610/21810/54725/545378/320158/27226/11658/17381/16790/70789/12527/104099/28126/74533/109934/213499/241226,Pdcd1lg2/Dnase1l3/Osbpl3/Tbc1d8/Tgfbi/Cadm1/Sh2d1b2/Zmat4/Pla2g7/Alcam/Mmp12/Anpep/Kynu/Cd9/Itga9/Nop16/Gzf1/Abr/Fbxo42/Itga8,ENSMUSG00000016498/ENSMUSG00000025279/ENSMUSG00000029822/ENSMUSG00000003134/ENSMUSG00000035493/ENSMUSG00000032076/ENSMUSG00000073494/ENSMUSG00000037492/ENSMUSG00000023913/ENSMUSG00000022636/ENSMUSG00000049723/ENSMUSG00000039062/ENSMUSG00000026866/ENSMUSG00000030342/ENSMUSG00000039115/ENSMUSG00000025869/ENSMUSG00000027439/ENSMUSG00000017631/ENSMUSG00000028920/ENSMUSG00000026768,C7
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP,20,20/590,182/17849,4.29836088473465e-4,100038909/15001/98496/18726/23943/17938/171212/26961/110954/20091/193796/19921/27176/98402/22294/19951/66085/20084/19989/20044,Gm14548/H2-Oa/Pid1/Lilra6/Esyt1/Naca/Galnt10/Rpl8/Rpl10/Rps3a1/Kdm4b/Rpl19/Rpl7a/Sh3bp4/Uxt/Rpl32/Eif3f/Rps18/Rpl7/Rps14,ENSMUSG00000074417/ENSMUSG00000024334/ENSMUSG00000045658/ENSMUSG00000030427/ENSMUSG00000025366/ENSMUSG00000061315/ENSMUSG00000020520/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000024201/ENSMUSG00000017404/ENSMUSG00000062647/ENSMUSG00000036206/ENSMUSG00000001134/ENSMUSG00000057841/ENSMUSG00000031029/ENSMUSG00000008668/ENSMUSG00000043716/ENSMUSG00000024608,C7
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,21,21/590,198/17849,4.29836088473465e-4,18733/12978/12273/16409/11501/80885/12608/100041146/13823/98496/19200/68659/14457/24115/217721/20430/229473/72145/68606/13039/19303,Pirb/Csf1r/C5ar1/Itgam/Adam8/Hcar2/Cebpb/Gm15448/Epb41l3/Pid1/Pstpip1/Gask1b/Gas7/Best1/Flvcr2/Cyfip1/Tmem131l/Wdfy3/Ppm1f/Ctsl/Pxn,ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000030786/ENSMUSG00000025473/ENSMUSG00000045502/ENSMUSG00000056501/ENSMUSG00000074419/ENSMUSG00000024044/ENSMUSG00000045658/ENSMUSG00000032322/ENSMUSG00000027955/ENSMUSG00000033066/ENSMUSG00000037418/ENSMUSG00000034258/ENSMUSG00000030447/ENSMUSG00000033767/ENSMUSG00000043940/ENSMUSG00000026181/ENSMUSG00000021477/ENSMUSG00000029528,C7
GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP,21,21/590,200/17849,4.5898440665333287e-4,100038909/18733/12978/80885/319939/21810/11303/100041146/18173/13823/66102/68659/18726/14255/16790/70789/140570/212898/218454/72145/19170,Gm14548/Pirb/Csf1r/Hcar2/Tns3/Tgfbi/Abca1/Gm15448/Slc11a1/Epb41l3/Cxcl16/Gask1b/Lilra6/Flt3/Anpep/Kynu/Plxnb2/Dse/Lhfpl2/Wdfy3/Psmb1,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000045502/ENSMUSG00000020422/ENSMUSG00000035493/ENSMUSG00000015243/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000024044/ENSMUSG00000018920/ENSMUSG00000027955/ENSMUSG00000030427/ENSMUSG00000042817/ENSMUSG00000039062/ENSMUSG00000026866/ENSMUSG00000036606/ENSMUSG00000039497/ENSMUSG00000045312/ENSMUSG00000043940/ENSMUSG00000014769,C7
GSE360_CTRL_VS_M_TUBERCULOSIS_DC_UP,21,21/590,200/17849,4.5898440665333287e-4,100038909/246782/16832/97761/50934/14457/16419/18726/20430/69993/12527/20970/218490/17938/78294/54387/21888/22273/228033/68137/20740,Gm14548/Atpaf2/Ldhb/Sgsm2/Slc7a8/Gas7/Itgb5/Lilra6/Cyfip1/Chn2/Cd9/Sdc3/Btf3/Naca/Rps27a/Mcm3ap/Tle4/Uqcrc1/Atp5g3/Kdelr1/Sptan1,ENSMUSG00000074417/ENSMUSG00000042709/ENSMUSG00000030246/ENSMUSG00000038351/ENSMUSG00000022180/ENSMUSG00000033066/ENSMUSG00000022817/ENSMUSG00000030427/ENSMUSG00000030447/ENSMUSG00000004633/ENSMUSG00000030342/ENSMUSG00000025743/ENSMUSG00000021660/ENSMUSG00000061315/ENSMUSG00000020460/ENSMUSG00000001150/ENSMUSG00000024642/ENSMUSG00000025651/ENSMUSG00000018770/ENSMUSG00000002778/ENSMUSG00000057738,C7
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_DN,21,21/590,200/17849,4.5898440665333287e-4,20725/16409/12774/15001/52855/18751/15331/192187/20430/15000/23943/13367/74392/54387/64652/59024/320632/18627/20933/15040/15194,Serpinb8/Itgam/Ccr5/H2-Oa/Lair1/Prkcb/Hmgn2/Stab1/Cyfip1/H2-DMb2/Esyt1/Diaph1/Specc1l/Mcm3ap/Nisch/Med12/Snrnp200/Per2/Med22/H2-T23/Htt,ENSMUSG00000026315/ENSMUSG00000030786/ENSMUSG00000079227/ENSMUSG00000024334/ENSMUSG00000055541/ENSMUSG00000052889/ENSMUSG00000003038/ENSMUSG00000042286/ENSMUSG00000030447/ENSMUSG00000037548/ENSMUSG00000025366/ENSMUSG00000024456/ENSMUSG00000033444/ENSMUSG00000001150/ENSMUSG00000021910/ENSMUSG00000079487/ENSMUSG00000003660/ENSMUSG00000055866/ENSMUSG00000015776/ENSMUSG00000067212/ENSMUSG00000029104,C7
GSE11057_CD4_CENT_MEM_VS_PBMC_DN,21,21/590,201/17849,4.823880146399736e-4,18733/332579/54610/12608/15001/28240/100041146/13823/23921/18636/20430/54132/12527/140570/545030/19267/67784/16452/56386/216440/100038947,Pirb/Card9/Tbc1d8/Cebpb/H2-Oa/Trpm2/Gm15448/Epb41l3/Sh2b2/Cfp/Cyfip1/Pdlim1/Cd9/Plxnb2/Wdfy4/Ptpre/Plxnd1/Jak2/B4galt6/Os9/Sirpb1c,ENSMUSG00000058818/ENSMUSG00000026928/ENSMUSG00000003134/ENSMUSG00000056501/ENSMUSG00000024334/ENSMUSG00000009292/ENSMUSG00000074419/ENSMUSG00000024044/ENSMUSG00000005057/ENSMUSG00000001128/ENSMUSG00000030447/ENSMUSG00000055044/ENSMUSG00000030342/ENSMUSG00000036606/ENSMUSG00000051506/ENSMUSG00000041836/ENSMUSG00000030123/ENSMUSG00000024789/ENSMUSG00000056124/ENSMUSG00000040462/ENSMUSG00000074677,C7
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP,20,20/590,186/17849,5.001415965061319e-4,15000/19240/26407/54132/20104/20005/75617/78294/26961/110954/27176/213499/67248/57294/20084/19941/20044/18263/20068/26451,H2-DMb2/Tmsb10/Map3k4/Pdlim1/Rps6/Rpl9/Rps25/Rps27a/Rpl8/Rpl10/Rpl7a/Fbxo42/Rpl39/Rps27/Rps18/Rpl26/Rps14/Odc1/Rps17/Rpl27a,ENSMUSG00000037548/ENSMUSG00000079523/ENSMUSG00000014426/ENSMUSG00000055044/ENSMUSG00000028495/ENSMUSG00000047215/ENSMUSG00000009927/ENSMUSG00000020460/ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000062647/ENSMUSG00000028920/ENSMUSG00000079641/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000060938/ENSMUSG00000024608/ENSMUSG00000011179/ENSMUSG00000061787/ENSMUSG00000046364,C7
GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_DN,21,21/590,202/17849,5.001415965061319e-4,58205/217944/11303/54427/66971/171166/27226/15018/100434/18636/77579/71279/21887/11565/244668/66253/21871/11717/17250/18627/15040,Pdcd1lg2/Rapgef5/Abca1/Dnmt3l/Cdk5rap1/Mcoln3/Pla2g7/H2-Q7/Slc44a1/Cfp/Myh10/Slc29a3/Tle3/Adssl1/Sipa1l2/Aig1/Atp6v0a2/Ampd3/Abcc1/Per2/H2-T23,ENSMUSG00000016498/ENSMUSG00000041992/ENSMUSG00000015243/ENSMUSG00000000730/ENSMUSG00000027487/ENSMUSG00000036853/ENSMUSG00000023913/ENSMUSG00000060550/ENSMUSG00000028412/ENSMUSG00000001128/ENSMUSG00000020900/ENSMUSG00000020100/ENSMUSG00000032280/ENSMUSG00000011148/ENSMUSG00000001995/ENSMUSG00000019806/ENSMUSG00000038023/ENSMUSG00000005686/ENSMUSG00000023088/ENSMUSG00000055866/ENSMUSG00000067212,C7
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN,21,21/590,203/17849,0.00051886392648480635,100038909/18733/12978/12273/54610/12608/319939/21810/100041146/18173/13823/14457/18636/18726/192187/20430/16790/70789/140570/212898/246256,Gm14548/Pirb/Csf1r/C5ar1/Tbc1d8/Cebpb/Tns3/Tgfbi/Gm15448/Slc11a1/Epb41l3/Gas7/Cfp/Lilra6/Stab1/Cyfip1/Anpep/Kynu/Plxnb2/Dse/Fcgr4,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000049130/ENSMUSG00000003134/ENSMUSG00000056501/ENSMUSG00000020422/ENSMUSG00000035493/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000024044/ENSMUSG00000033066/ENSMUSG00000001128/ENSMUSG00000030427/ENSMUSG00000042286/ENSMUSG00000030447/ENSMUSG00000039062/ENSMUSG00000026866/ENSMUSG00000036606/ENSMUSG00000039497/ENSMUSG00000059089,C7
GSE25677_MPL_VS_R848_STIM_BCELL_UP,20,20/590,188/17849,5.440300880746267e-4,218793/28240/104759/52855/17179/171166/27226/27053/71279/67865/20430/68732/12527/212898/19271/76846/15531/67784/109934/56030,Ube2e2/Trpm2/Pld4/Lair1/Matk/Mcoln3/Pla2g7/Asns/Slc29a3/Rgs10/Cyfip1/Carmil1/Cd9/Dse/Ptprj/Rps9/Ndst1/Plxnd1/Abr/Tmem131,ENSMUSG00000058317/ENSMUSG00000009292/ENSMUSG00000052160/ENSMUSG00000055541/ENSMUSG00000004933/ENSMUSG00000036853/ENSMUSG00000023913/ENSMUSG00000029752/ENSMUSG00000020100/ENSMUSG00000030844/ENSMUSG00000030447/ENSMUSG00000021338/ENSMUSG00000030342/ENSMUSG00000039497/ENSMUSG00000025314/ENSMUSG00000006333/ENSMUSG00000054008/ENSMUSG00000030123/ENSMUSG00000017631/ENSMUSG00000026116,C7
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP,20,20/590,188/17849,5.440300880746267e-4,100038909/18733/20568/232801/11303/100041146/268752/30805/66222/22151/14457/217721/18726/71069/11305/216161/212898/69718/16452/57294,Gm14548/Pirb/Slpi/Lilra5/Abca1/Gm15448/Wdfy2/Slc22a4/Serpinb1a/Tubb2a/Gas7/Flvcr2/Lilra6/Stox2/Abca2/Sbno2/Dse/Ipmk/Jak2/Rps27,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000017002/ENSMUSG00000070873/ENSMUSG00000015243/ENSMUSG00000074419/ENSMUSG00000014547/ENSMUSG00000020334/ENSMUSG00000044734/ENSMUSG00000058672/ENSMUSG00000033066/ENSMUSG00000034258/ENSMUSG00000030427/ENSMUSG00000038143/ENSMUSG00000026944/ENSMUSG00000035673/ENSMUSG00000039497/ENSMUSG00000060733/ENSMUSG00000024789/ENSMUSG00000090733,C7
GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,20,20/590,189/17849,5.752586269933995e-4,75345/217304/319939/20304/14457/27053/16000/20846/14788/20308/16790/23886/30794/12527/12925/192176/19271/76933/17069/18263,Slamf7/Cd300lb/Tns3/Ccl5/Gas7/Asns/Igf1/Stat1/Gpr162/Ccl9/Anpep/Gdf15/Pdlim4/Cd9/Crip1/Flna/Ptprj/Ifi27l2a/Ly6e/Odc1,ENSMUSG00000038179/ENSMUSG00000063193/ENSMUSG00000020422/ENSMUSG00000035042/ENSMUSG00000033066/ENSMUSG00000029752/ENSMUSG00000020053/ENSMUSG00000026104/ENSMUSG00000038390/ENSMUSG00000019122/ENSMUSG00000039062/ENSMUSG00000038508/ENSMUSG00000020388/ENSMUSG00000030342/ENSMUSG00000006360/ENSMUSG00000031328/ENSMUSG00000025314/ENSMUSG00000079017/ENSMUSG00000022587/ENSMUSG00000011179,C7
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_UP,21,21/590,206/17849,5.904883575379462e-4,15925/12978/218793/17750/12608/66222/171166/15018/18636/17913/67299/12527/140570/192176/233328/21871/20947/114601/75687/15040/56386,Ide/Csf1r/Ube2e2/Mt2/Cebpb/Serpinb1a/Mcoln3/H2-Q7/Cfp/Myo1c/Dock7/Cd9/Plxnb2/Flna/Lrrk1/Atp6v0a2/Swap70/Ehbp1l1/Ripor1/H2-T23/B4galt6,ENSMUSG00000056999/ENSMUSG00000024621/ENSMUSG00000058317/ENSMUSG00000031762/ENSMUSG00000056501/ENSMUSG00000044734/ENSMUSG00000036853/ENSMUSG00000060550/ENSMUSG00000001128/ENSMUSG00000017774/ENSMUSG00000028556/ENSMUSG00000030342/ENSMUSG00000036606/ENSMUSG00000031328/ENSMUSG00000015133/ENSMUSG00000038023/ENSMUSG00000031015/ENSMUSG00000024937/ENSMUSG00000038604/ENSMUSG00000067212/ENSMUSG00000056124,C7
GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_DN,20,20/590,191/17849,6.431902916241423e-4,54610/319939/13823/30805/22151/235504/19126/17132/381280/238377/11658/67865/69993/17979/244668/19271/50770/100855/63955/66079,Tbc1d8/Tns3/Epb41l3/Slc22a4/Tubb2a/Slc17a5/Prom1/Maf/Hjurp/Gpr68/Alcam/Rgs10/Chn2/Ncoa3/Sipa1l2/Ptprj/Atp11a/Tbc1d14/Cables1/Tmem42,ENSMUSG00000003134/ENSMUSG00000020422/ENSMUSG00000024044/ENSMUSG00000020334/ENSMUSG00000058672/ENSMUSG00000049624/ENSMUSG00000029086/ENSMUSG00000055435/ENSMUSG00000044783/ENSMUSG00000047415/ENSMUSG00000022636/ENSMUSG00000030844/ENSMUSG00000004633/ENSMUSG00000027678/ENSMUSG00000001995/ENSMUSG00000025314/ENSMUSG00000031441/ENSMUSG00000029192/ENSMUSG00000040957/ENSMUSG00000066233,C7
GSE11057_CD4_EFF_MEM_VS_PBMC_DN,20,20/590,193/17849,7.357523025105669e-4,18733/332579/54610/12608/15001/28240/100041146/13823/545378/14457/23921/15000/54132/12527/140570/545030/19267/18129/241633/16452,Pirb/Card9/Tbc1d8/Cebpb/H2-Oa/Trpm2/Gm15448/Epb41l3/Sh2d1b2/Gas7/Sh2b2/H2-DMb2/Pdlim1/Cd9/Plxnb2/Wdfy4/Ptpre/Notch2/Atp8b4/Jak2,ENSMUSG00000058818/ENSMUSG00000026928/ENSMUSG00000003134/ENSMUSG00000056501/ENSMUSG00000024334/ENSMUSG00000009292/ENSMUSG00000074419/ENSMUSG00000024044/ENSMUSG00000073494/ENSMUSG00000033066/ENSMUSG00000005057/ENSMUSG00000037548/ENSMUSG00000055044/ENSMUSG00000030342/ENSMUSG00000036606/ENSMUSG00000051506/ENSMUSG00000041836/ENSMUSG00000027878/ENSMUSG00000060131/ENSMUSG00000024789,C7
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_6H_UP,20,20/590,194/17849,7.774365000494992e-4,332579/28240/319939/98496/19200/17132/224273/15331/18186/217119/17748/192187/74748/79362/230233/27361/50770/64652/54721/216440,Card9/Trpm2/Tns3/Pid1/Pstpip1/Maf/Crybg3/Hmgn2/Nrp1/Xylt2/Mt1/Stab1/Slamf8/Bhlhe41/Elp1/Msrb1/Atp11a/Nisch/Tyk2/Os9,ENSMUSG00000026928/ENSMUSG00000009292/ENSMUSG00000020422/ENSMUSG00000045658/ENSMUSG00000032322/ENSMUSG00000055435/ENSMUSG00000022723/ENSMUSG00000003038/ENSMUSG00000025810/ENSMUSG00000020868/ENSMUSG00000031765/ENSMUSG00000042286/ENSMUSG00000053318/ENSMUSG00000030256/ENSMUSG00000028431/ENSMUSG00000075705/ENSMUSG00000031441/ENSMUSG00000021910/ENSMUSG00000032175/ENSMUSG00000040462,C7
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP,20,20/590,195/17849,8.214244206426502e-4,75345/12654/16004/28240/319939/227699/27226/18186/16534/277463/26407/79362/11428/74392/54387/17250/14583/217684/13039/22166,Slamf7/Chil1/Igf2r/Trpm2/Tns3/Nup188/Pla2g7/Nrp1/Kcnn4/Gpr107/Map3k4/Bhlhe41/Aco1/Specc1l/Mcm3ap/Abcc1/Gfpt1/Susd6/Ctsl/Txn1,ENSMUSG00000038179/ENSMUSG00000064246/ENSMUSG00000023830/ENSMUSG00000009292/ENSMUSG00000020422/ENSMUSG00000052533/ENSMUSG00000023913/ENSMUSG00000025810/ENSMUSG00000054342/ENSMUSG00000000194/ENSMUSG00000014426/ENSMUSG00000030256/ENSMUSG00000028405/ENSMUSG00000033444/ENSMUSG00000001150/ENSMUSG00000023088/ENSMUSG00000029992/ENSMUSG00000021133/ENSMUSG00000021477/ENSMUSG00000028367,C7
GSE17186_BLOOD_VS_CORD_BLOOD_CD21LOW_TRANSITIONAL_BCELL_DN,20,20/590,200/17849,0.001076857794918654,210992/71720/69710/360013/66222/224273/18186/17748/11565/54616/20970/26936/19267/66401/72145/54721/16332/56030/225049/68507,Lpcat1/Osbpl3/Arap1/Myo18a/Serpinb1a/Crybg3/Nrp1/Mt1/Adssl1/Extl3/Sdc3/Mprip/Ptpre/Nudt2/Wdfy3/Tyk2/Inppl1/Tmem131/Ttc7/Ppfia4,ENSMUSG00000021608/ENSMUSG00000029822/ENSMUSG00000032812/ENSMUSG00000000631/ENSMUSG00000044734/ENSMUSG00000022723/ENSMUSG00000025810/ENSMUSG00000031765/ENSMUSG00000011148/ENSMUSG00000021978/ENSMUSG00000025743/ENSMUSG00000005417/ENSMUSG00000041836/ENSMUSG00000028443/ENSMUSG00000043940/ENSMUSG00000032175/ENSMUSG00000032737/ENSMUSG00000026116/ENSMUSG00000036918/ENSMUSG00000026458,C7
GSE17721_12H_VS_24H_LPS_BMDC_UP,20,20/590,200/17849,0.001076857794918654,60504/218793/54610/50934/69387/18636/16534/14268/17979/13367/67338/18518/246256/12334/225845/68953/12913/16449/338467/14248,Il21r/Ube2e2/Tbc1d8/Slc7a8/Dnajb13/Cfp/Kcnn4/Fn1/Ncoa3/Diaph1/Rffl/Igbp1/Fcgr4/Capn2/Plaat3/Chmp2a/Creb3/Jag1/Morc3/Flii,ENSMUSG00000030745/ENSMUSG00000058317/ENSMUSG00000003134/ENSMUSG00000022180/ENSMUSG00000030708/ENSMUSG00000001128/ENSMUSG00000054342/ENSMUSG00000026193/ENSMUSG00000027678/ENSMUSG00000024456/ENSMUSG00000020696/ENSMUSG00000031221/ENSMUSG00000059089/ENSMUSG00000026509/ENSMUSG00000060675/ENSMUSG00000033916/ENSMUSG00000028466/ENSMUSG00000027276/ENSMUSG00000039456/ENSMUSG00000002812,C7
GSE22886_DC_VS_MONOCYTE_DN,20,20/590,200/17849,0.001076857794918654,100038909/18733/11501/20354/195046/100041146/18173/98496/19200/15018/235627/18636/18726/229473/20104/16168/74302/78294/18129/15040,Gm14548/Pirb/Adam8/Sema4d/Nlrp1a/Gm15448/Slc11a1/Pid1/Pstpip1/H2-Q7/Nbeal2/Cfp/Lilra6/Tmem131l/Rps6/Il15/Mtmr3/Rps27a/Notch2/H2-T23,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000025473/ENSMUSG00000021451/ENSMUSG00000069830/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000045658/ENSMUSG00000032322/ENSMUSG00000060550/ENSMUSG00000056724/ENSMUSG00000001128/ENSMUSG00000030427/ENSMUSG00000033767/ENSMUSG00000028495/ENSMUSG00000031712/ENSMUSG00000034354/ENSMUSG00000020460/ENSMUSG00000027878/ENSMUSG00000067212,C7
